devEUI,rssi,loraSNR,frequency,dr,fCnt,fPort,data,datetime,location
0004a30b001febcf,-113,-11,868300000,3,5,1,LOC16,2019-04-23 16:54:12.174379,aryas

0004a30b001febcf,-114,-6.3,868500000,3,6,1,LOC17,2019-04-23 16:54:22.736944,aryas

0004a30b001febcf,-115,-11.5,868100000,3,7,1,LOC20,2019-04-23 16:55:02.669474,aryas

0004a30b001febcf,-108,-5,868300000,3,8,1,LOC21,2019-04-23 16:55:08.178219,aryas

0004a30b001febcf,-114,-6.3,868100000,3,9,1,LOC22,2019-04-23 16:55:59.164830,aryas

0004a30b001febcf,-114,-2,868100000,5,0,1,LOC23,2019-04-23 16:56:04.174932,aryas

0004a30b001febcf,-111,-3,868300000,3,1,1,LOC24,2019-04-23 16:56:09.549816,aryas

0004a30b001febcf,-108,-3.3,868500000,3,2,1,LOC25,2019-04-23 16:56:15.063117,aryas

0004a30b001febcf,-113,-1,868100000,3,3,1,LOC26,2019-04-23 16:56:22.637597,aryas

0004a30b001febcf,-114,-10,868100000,2,4,1,LOC29,2019-04-23 16:57:20.595627,aryas

0004a30b001febcf,-112,-5.8,868100000,4,0,1,LOC4,2019-04-23 16:58:54.317095,aryas

0004a30b001febcf,-108,-7.5,868300000,4,1,1,LOC5,2019-04-23 16:58:59.673945,aryas

0004a30b001febcf,-111,-4.5,868300000,4,2,1,LOC6,2019-04-23 16:59:23.338903,aryas

0004a30b001febcf,-109,-2.8,868300000,4,3,1,LOC7,2019-04-23 16:59:53.352299,aryas

0004a30b001febcf,-114,-4.5,868500000,4,4,1,LOC8,2019-04-23 17:00:05.080479,aryas

0004a30b001febcf,-112,-7.5,868500000,3,5,1,LOC10,2019-04-23 17:00:37.413439,aryas

0004a30b001febcf,-114,-2.8,868100000,4,6,1,LOC12,2019-04-23 17:01:05.340330,aryas

0004a30b001febcf,-109,2.3,868100000,5,0,1,LOC14,2019-04-23 17:01:30.559623,aryas

0004a30b001febcf,-111,-2.8,868500000,4,1,1,LOC15,2019-04-23 17:01:35.847630,aryas

0004a30b001febcf,-102,-3.8,868300000,4,2,1,LOC16,2019-04-23 17:01:41.231828,aryas

0004a30b001febcf,-115,-6.5,868100000,4,3,1,LOC17,2019-04-23 17:01:48.604610,aryas

0004a30b001febcf,-115,-9,868100000,3,4,1,LOC18,2019-04-23 17:02:20.728918,aryas

0004a30b001febcf,-113,-5.3,868500000,4,5,1,LOC19,2019-04-23 17:02:28.191300,aryas

0004a30b001febcf,-114,-7.8,868100000,4,6,1,LOC20,2019-04-23 17:03:17.659647,aryas

0004a30b001febcf,-110,-1,868500000,5,0,1,LOC21,2019-04-23 17:03:27.375477,aryas

0004a30b001febcf,-111,-3,868300000,4,1,1,LOC22,2019-04-23 17:03:32.641341,aryas

0004a30b001febcf,-111,-0.8,868100000,4,1,1,LOC22,2019-04-23 17:03:45.309217,aryas

0004a30b001febcf,-109,-3.3,868300000,4,2,1,LOC23,2019-04-23 17:03:56.724036,aryas

0004a30b001febcf,-107,-8.3,868300000,4,3,1,LOC24,2019-04-23 17:04:28.844697,aryas

0004a30b001febcf,-113,-7,868100000,4,4,1,LOC25,2019-04-23 17:04:44.527962,aryas

0004a30b001febcf,-112,-4.8,868100000,5,0,1,LOC27,2019-04-23 17:05:14.102942,aryas

0004a30b001febcf,-111,-10.3,868500000,4,1,1,LOC28,2019-04-23 17:05:23.766203,aryas

0004a30b001febcf,-114,-7.5,868100000,4,2,1,LOC29,2019-04-23 17:05:32.085320,aryas

0004a30b001febcf,-111,-3,868300000,4,3,1,LOC30,2019-04-23 17:05:43.511319,aryas

0004a30b001febcf,-113,-6.3,868100000,5,4,1,LOC1,2019-04-23 17:06:01.107004,aryas

0004a30b001febcf,-113,0.8,868100000,4,5,1,LOC2,2019-04-23 17:06:16.969374,aryas

0004a30b001febcf,-111,-3.8,868500000,4,6,1,LOC3,2019-04-23 17:06:36.897114,aryas

0004a30b001febcf,-114,-3.3,868100000,5,7,1,LOC4,2019-04-23 17:06:48.506833,aryas

0004a30b001febcf,-113,-6.8,868500000,5,0,1,LOC5,2019-04-23 17:07:05.490139,aryas

0004a30b001febcf,-109,2.3,868100000,5,1,1,LOC6,2019-04-23 17:07:10.755044,aryas

0004a30b001febcf,-114,-8,868100000,3,2,1,LOC7,2019-04-23 17:07:39.412619,aryas

0004a30b001febcf,-112,-4,868100000,5,0,1,LOC9,2019-04-23 17:08:25.523489,aryas

0004a30b001febcf,-109,-2,868300000,4,1,1,LOC10,2019-04-23 17:08:43.402054,aryas

