devEUI,rssi,loraSNR,frequency,dr,fCnt,fPort,data,time
0004a30b0020096f,-39,9.5,868100000,5,5,1,"0,0,0",2019-03-09 01:26:58.650146
0004a30b0020096f,-40,8.3,868500000,5,6,1,"0,0,0",2019-03-09 01:27:02.769069
0004a30b001febcf,-42,8.5,868100000,5,23,1,LOC14,2019-03-09 01:27:05.643935
0004a30b001febcf,-41,8.5,868300000,5,24,1,LOC15,2019-03-09 01:27:09.801963
0004a30b001febcf,-42,8,868500000,5,25,1,LOC16,2019-03-09 01:27:16.969676
0004a30b001febcf,-42,9.8,868100000,5,26,1,LOC17,2019-03-09 01:27:21.132757
0004a30b001febcf,-38,8.8,868300000,5,27,1,LOC18,2019-03-09 01:27:25.292378
0004a30b001febcf,-42,10,868500000,5,28,1,LOC19,2019-03-09 01:27:33.456872
0004a30b001febcf,-40,9.8,868100000,5,29,1,LOC20,2019-03-09 01:27:37.627914
0004a30b001febcf,-40,9.3,868300000,5,30,1,LOC21,2019-03-09 01:27:41.752442
0004a30b0020096f,-41,8.8,868500000,5,0,1,ping,2019-03-09 01:27:45.026239
0004a30b001febcf,-42,9,868500000,5,31,1,LOC22,2019-03-09 01:27:48.939159
0004a30b001febcf,-42,10,868100000,5,32,1,LOC23,2019-03-09 01:27:53.110433
0004a30b0020096f,-41,8.8,868300000,5,0,1,ping,2019-03-09 01:27:54.824419
0004a30b001febcf,-41,8,868300000,5,33,1,LOC24,2019-03-09 01:27:57.255913
0004a30b0020096f,-40,10,868500000,5,1,1,"0,0,0",2019-03-09 01:27:59.620292
0004a30b0020096f,-38,9,868100000,5,2,1,"0,0,0",2019-03-09 01:28:03.732435
0004a30b001febcf,-42,9.3,868500000,5,34,1,LOC25,2019-03-09 01:28:05.454071
0004a30b001febcf,-48,10.3,868100000,5,35,1,LOC26,2019-03-09 01:28:09.583068
0004a30b0020096f,-41,10.8,868500000,5,3,1,"0,0,0",2019-03-09 01:28:12.001715
0004a30b001febcf,-49,9.3,868300000,5,36,1,LOC27,2019-03-09 01:28:13.726237
0004a30b0020096f,-35,8.5,868100000,5,4,1,"0,0,0",2019-03-09 01:28:16.148905
0004a30b0020096f,-37,8.5,868300000,5,5,1,"0,0,0",2019-03-09 01:28:20.224076
0004a30b001febcf,-54,8.5,868500000,5,37,1,LOC28,2019-03-09 01:28:20.933075
0004a30b001febcf,-51,9.3,868100000,5,38,1,LOC29,2019-03-09 01:28:25.058528
0004a30b001febcf,-41,8.5,868300000,5,39,1,LOC30,2019-03-09 01:28:29.229645
0004a30b001febcf,-45,9.3,868500000,5,40,1,LOC31,2019-03-09 01:28:37.394719
0004a30b001febcf,-43,9.8,868100000,5,41,1,LOC32,2019-03-09 01:28:41.556675
0004a30b0020096f,-39,9.5,868300000,5,0,1,ping,2019-03-09 01:28:43.075549
0004a30b001febcf,-52,10,868300000,5,42,1,LOC33,2019-03-09 01:28:45.694768
0004a30b0020096f,-35,9,868100000,5,1,1,"0,0,0",2019-03-09 01:28:47.864072
0004a30b0020096f,-33,9.3,868500000,5,2,1,"0,0,0",2019-03-09 01:28:51.978223
0004a30b001febcf,-48,9,868500000,5,43,1,LOC34,2019-03-09 01:28:52.900076
0004a30b001febcf,-41,9.5,868100000,5,44,1,LOC35,2019-03-09 01:28:57.025328
0004a30b0020096f,-29,9.3,868300000,5,2,1,"0,0,0",2019-03-09 01:29:00.305409
0004a30b001febcf,-42,8.5,868300000,5,45,1,LOC36,2019-03-09 01:29:01.280608
0004a30b0020096f,-31,11.3,868100000,4,2,1,"0,0,0",2019-03-09 01:29:04.589580
0004a30b0020096f,-44,9.3,868500000,5,3,1,"0,0,0",2019-03-09 01:29:08.446393
0004a30b001febcf,-33,9,868100000,5,0,1,LOC36,2019-03-09 01:29:15.160313
0004a30b0020096f,-45,9,868300000,5,4,1,"0,0,0",2019-03-09 01:29:16.684698
0004a30b001febcf,-33,10.3,868300000,5,1,1,LOC37,2019-03-09 01:29:19.309068
0004a30b001febcf,-35,8.3,868500000,5,2,1,LOC38,2019-03-09 01:29:23.481782
0004a30b0020096f,-45,8.8,868500000,5,5,1,"0,0,0",2019-03-09 01:29:24.844341
0004a30b001febcf,-31,8.3,868100000,5,3,1,LOC39,2019-03-09 01:29:31.658087
0004a30b0020096f,-43,8.8,868100000,5,6,1,"0,0,0",2019-03-09 01:29:34.484098
0004a30b001febcf,-33,9,868500000,5,4,1,LOC40,2019-03-09 01:29:35.804955
0004a30b0020096f,-41,9.3,868300000,5,7,1,"0,0,0",2019-03-09 01:29:38.577170
0004a30b001febcf,-29,8.5,868300000,5,5,1,LOC41,2019-03-09 01:29:39.946001
0004a30b0020096f,-43,9.8,868500000,5,8,1,"0,0,0",2019-03-09 01:29:42.653842
0004a30b001febcf,-27,9,868100000,5,6,1,LOC42,2019-03-09 01:29:48.134642
0004a30b0020096f,-42,9.5,868100000,5,9,1,"0,0,0",2019-03-09 01:29:50.890300
0004a30b001febcf,-31,9.3,868500000,5,7,1,LOC43,2019-03-09 01:29:52.305510
0004a30b0020096f,-43,9.8,868500000,5,10,1,"0,0,0",2019-03-09 01:29:54.978648
0004a30b001febcf,-29,9.5,868300000,5,8,1,LOC44,2019-03-09 01:29:56.440810
0004a30b0020096f,-42,9.5,868300000,5,11,1,"0,0,0",2019-03-09 01:29:59.101781
0004a30b001febcf,-33,9,868100000,5,9,1,LOC45,2019-03-09 01:30:03.616100
0004a30b0020096f,-41,8.8,868100000,5,11,1,"0,0,0",2019-03-09 01:30:05.389470
